Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
SF00001,Andhra Pradesh,Ludhiana,Maize,Zaid,5.3,437.5,18.5,50.9,7.5,5.08,19.9,99.2,51.3,43.1,Rainfed,258.1,1.06,0.92,0.41,2.17,54048,148393,117284,-31109,1271.4,1.707,51.9
SF00002,Andhra Pradesh,Warangal,Groundnut,Zaid,3.05,311.6,18.8,63.0,4.9,7.77,13.9,47.5,58.4,142.8,Rainfed,207.0,7.34,0.62,0.95,2.9,62118,73587,180142,106555,645.2,4.495,23.7
SF00003,Karnataka,Warangal,Pulses,Rabi,2.67,384.2,30.1,75.1,8.8,5.21,41.7,82.5,25.8,79.3,Rainfed,297.7,6.76,0.82,0.64,1.71,48512,72953,82956,10003,2024.6,0.845,51.1
SF00004,Karnataka,Warangal,Maize,Kharif,6.82,830.5,28.2,75.9,5.5,6.5,54.2,98.2,17.1,30.9,Rainfed,244.3,4.86,0.83,3.56,24.28,48021,36829,1165950,1129121,4064.2,5.974,31.7
SF00005,Andhra Pradesh,Nalgonda,Pulses,Zaid,7.98,437.7,19.1,59.1,11.0,6.59,58.6,129.8,6.0,118.1,Rainfed,249.1,4.06,0.72,0.88,7.02,82686,67662,580456,512794,3827.8,1.834,19.5
SF00006,Andhra Pradesh,Warangal,Rice,Kharif,0.52,399.1,20.9,87.7,10.5,7.76,39.9,75.8,14.5,64.4,Rainfed,132.7,3.17,0.83,3.33,1.73,52522,282451,90863,-191588,3857.4,0.448,14.7
SF00007,Karnataka,Ludhiana,Pulses,Rabi,5.99,522.1,28.9,88.2,10.5,7.27,44.5,108.4,38.9,110.8,Rainfed,176.4,5.66,0.65,3.73,22.34,87822,85934,1961943,1876009,816.3,27.367,23.5
SF00008,Andhra Pradesh,Rajkot,Rice,Kharif,3.04,824.3,33.5,43.5,5.7,7.01,20.7,24.2,84.5,95.7,Sprinkler,133.5,5.26,0.76,2.77,8.42,48161,328512,405516,77004,1257.0,6.698,15.7
SF00009,Andhra Pradesh,Rajkot,Wheat,Rabi,5.44,682.6,32.4,45.5,5.3,6.61,17.0,31.6,44.3,141.2,Drip,177.5,8.75,0.82,1.79,9.74,71883,264855,700140,435285,4346.4,2.241,13.0
SF00010,Karnataka,Indore,Rice,Rabi,7.99,822.0,21.0,40.1,6.7,7.78,49.3,46.4,64.2,119.6,Sprinkler,114.1,3.67,0.99,3.81,30.44,30224,143930,920019,776089,998.3,30.492,44.8
SF00011,Maharashtra,Rajkot,Maize,Kharif,4.57,154.8,19.2,83.1,6.8,7.82,38.5,88.9,8.4,22.3,Rainfed,285.6,2.84,0.89,3.44,15.72,25492,46289,400734,354445,3004.1,5.233,24.3
SF00012,Andhra Pradesh,Rajkot,Sugarcane,Zaid,3.47,898.8,35.9,43.7,5.5,5.8,56.7,132.7,79.7,65.4,Flood,176.4,5.89,0.72,3.12,10.83,57321,259717,620786,361069,1717.7,6.305,69.0
SF00013,Maharashtra,Warangal,Maize,Kharif,6.55,693.9,20.8,54.1,5.5,6.03,44.4,128.7,48.0,47.7,Drip,100.3,4.81,0.71,2.52,16.51,57240,74309,945032,870723,4706.9,3.508,10.2
SF00014,Karnataka,Ludhiana,Wheat,Kharif,6.28,160.2,33.9,85.2,7.8,7.5,39.1,26.5,15.8,56.2,Drip,277.8,2.89,0.7,2.98,18.71,52335,104715,979188,874473,3757.9,4.979,16.2
SF00015,Maharashtra,Nalgonda,Pulses,Rabi,6.35,119.8,31.3,56.6,10.5,7.41,53.2,122.6,27.7,128.1,Drip,164.2,1.35,0.79,4.01,25.46,71264,345405,1814381,1468976,3797.5,6.704,22.0
SF00016,Maharashtra,Indore,Groundnut,Rabi,7.39,791.5,35.4,54.0,8.5,6.2,59.1,82.8,84.8,27.3,Rainfed,119.3,9.66,0.71,1.77,13.08,47831,136876,625629,488753,313.6,41.709,16.5
SF00017,Andhra Pradesh,Indore,Rice,Rabi,3.76,135.5,25.8,66.0,9.6,7.06,57.0,111.9,21.7,74.7,Rainfed,217.1,6.97,0.65,3.36,12.63,59114,248796,746610,497814,3109.8,4.061,64.0
SF00018,Maharashtra,Nalgonda,Chilli,Zaid,4.3,852.3,30.2,85.1,8.3,5.9,37.4,5.1,29.4,74.5,Rainfed,182.3,4.98,0.69,3.1,13.33,60753,230973,809837,578864,3546.6,3.759,38.4
SF00019,Telangana,Rajkot,Rice,Zaid,7.26,348.3,32.5,47.4,4.3,7.95,40.6,116.4,43.7,142.9,Flood,238.0,4.46,0.76,3.64,26.43,40241,64457,1063570,999113,1562.2,16.918,18.9
SF00020,Karnataka,Rajkot,Rice,Kharif,5.66,465.2,32.4,73.4,10.9,6.79,57.5,134.3,57.1,117.9,Sprinkler,262.7,5.93,0.96,4.05,22.92,31970,242899,732752,489853,1250.4,18.33,54.6
SF00021,Karnataka,Nalgonda,Cotton,Rabi,4.06,162.0,23.1,53.6,6.2,6.62,16.9,38.5,64.0,116.0,Drip,171.3,3.98,0.79,1.39,5.64,50406,165391,284290,118899,3875.9,1.455,13.7
SF00022,Andhra Pradesh,Warangal,Cotton,Rabi,6.75,782.8,35.2,61.0,9.2,6.64,40.2,37.0,23.7,75.4,Drip,165.5,7.02,0.92,1.94,13.09,20560,321827,269130,-52697,2025.8,6.462,53.5
SF00023,Andhra Pradesh,Rajkot,Chilli,Kharif,6.8,793.5,21.3,53.0,6.3,6.36,26.9,132.5,28.7,152.7,Sprinkler,135.5,1.74,0.61,4.16,28.29,88008,34138,2489746,2455608,4553.3,6.213,42.4
SF00024,Maharashtra,Nalgonda,Wheat,Zaid,8.0,221.9,20.3,73.5,7.9,5.65,45.0,116.2,19.3,101.1,Drip,251.1,2.47,0.72,1.77,14.16,26993,41106,382221,341115,3820.3,3.707,44.7
SF00025,Maharashtra,Rajkot,Rice,Kharif,7.47,657.8,23.4,74.2,9.6,7.39,38.3,11.0,50.3,109.2,Drip,191.3,4.07,0.94,2.72,20.32,67192,227961,1365341,1137380,4719.1,4.306,59.3
SF00026,Telangana,Ludhiana,Sugarcane,Rabi,1.29,448.5,31.2,53.4,10.0,7.49,14.3,132.8,25.7,79.7,Sprinkler,154.0,5.45,0.73,4.34,5.6,78258,100211,438245,338034,2290.3,2.445,39.3
SF00027,Telangana,Ludhiana,Wheat,Zaid,3.16,858.5,19.5,76.0,7.4,7.27,44.5,98.7,46.7,128.9,Drip,144.7,4.64,0.7,1.39,4.39,54655,332556,239935,-92621,3565.7,1.231,49.8
SF00028,Telangana,Warangal,Sugarcane,Rabi,3.27,345.3,22.1,76.1,6.2,7.23,57.5,105.1,21.3,120.8,Rainfed,239.4,9.79,0.81,2.62,8.57,63056,243086,540390,297304,4983.8,1.72,27.0
SF00029,Andhra Pradesh,Ludhiana,Pulses,Rabi,1.25,136.4,19.0,54.6,10.6,6.91,47.6,19.9,6.0,52.7,Sprinkler,176.9,2.66,0.62,1.12,1.4,47816,209205,66942,-142263,1061.3,1.319,66.5
SF00030,Andhra Pradesh,Nalgonda,Pulses,Zaid,4.08,859.3,19.5,52.4,7.9,6.25,39.8,94.7,70.9,67.1,Sprinkler,145.4,6.3,0.77,3.75,15.3,70521,277816,1078971,801155,555.6,27.538,44.1
SF00031,Telangana,Rajkot,Pulses,Kharif,0.95,239.1,19.4,40.1,7.2,6.78,24.6,38.6,65.1,115.4,Sprinkler,95.7,3.1,0.71,4.33,4.11,31006,128940,127435,-1505,3202.5,1.283,57.5
SF00032,Maharashtra,Nalgonda,Cotton,Kharif,4.92,157.1,21.0,55.4,9.2,6.71,24.4,23.0,63.5,115.0,Rainfed,190.1,5.44,0.63,3.68,18.11,43928,242895,795536,552641,750.9,24.118,12.4
SF00033,Andhra Pradesh,Warangal,Wheat,Kharif,3.74,476.4,29.7,85.8,5.3,6.76,41.7,76.3,12.8,62.2,Rainfed,150.6,1.94,0.66,1.65,6.17,50816,33560,313535,279975,638.4,9.665,34.7
SF00034,Andhra Pradesh,Warangal,Cotton,Rabi,4.22,192.7,31.9,83.2,9.8,5.0,53.5,72.0,9.6,87.8,Sprinkler,217.6,7.84,0.68,3.08,13.0,70488,308409,916344,607935,376.1,34.565,43.0
SF00035,Maharashtra,Nalgonda,Cotton,Zaid,7.46,110.9,25.3,51.2,9.9,5.34,57.4,98.9,18.1,149.9,Rainfed,192.0,3.46,0.93,2.14,15.96,81532,83662,1301251,1217589,338.6,47.135,68.8
SF00036,Maharashtra,Rajkot,Cotton,Rabi,2.33,371.9,32.2,53.4,4.0,7.18,51.9,89.1,61.1,139.8,Sprinkler,198.5,4.11,0.82,2.62,6.1,68277,119934,416490,296556,4625.0,1.319,42.6
SF00037,Maharashtra,Indore,Wheat,Rabi,3.92,695.8,30.7,80.6,6.7,6.99,51.0,147.2,47.1,15.6,Rainfed,271.3,8.87,0.78,1.65,6.47,42727,145202,276444,131242,2944.6,2.197,41.6
SF00038,Telangana,Warangal,Chilli,Zaid,3.93,164.3,23.9,73.7,7.7,7.86,41.3,133.7,46.5,91.2,Drip,131.6,7.16,0.71,3.33,13.09,71736,100929,939024,838095,559.2,23.408,23.6
SF00039,Telangana,Rajkot,Wheat,Rabi,1.18,736.9,23.3,58.7,5.0,6.59,38.3,119.9,19.4,21.8,Sprinkler,216.3,3.17,0.97,4.41,5.2,31173,252615,162100,-90515,998.6,5.207,18.6
SF00040,Karnataka,Warangal,Pulses,Kharif,3.96,453.4,24.2,69.4,8.5,6.27,22.5,127.6,21.9,67.7,Sprinkler,103.5,4.43,0.74,1.37,5.43,51466,24926,279460,254534,4514.8,1.203,27.8
SF00041,Andhra Pradesh,Ludhiana,Sugarcane,Rabi,5.74,720.6,22.1,80.1,5.5,5.57,22.5,114.6,70.2,112.1,Flood,218.2,9.13,0.86,0.39,2.24,69879,163906,156529,-7377,238.9,9.376,28.5
SF00042,Telangana,Indore,Pulses,Kharif,3.81,205.7,27.7,88.6,7.7,7.74,51.5,42.3,75.1,82.3,Rainfed,244.2,4.05,0.65,2.73,10.4,35224,67255,366330,299075,4566.2,2.278,67.8
SF00043,Karnataka,Rajkot,Cotton,Zaid,1.56,198.9,24.6,77.5,5.8,6.14,41.9,58.9,62.4,80.7,Rainfed,281.4,2.99,0.63,4.36,6.8,70089,312192,476605,164413,1955.7,3.477,59.4
SF00044,Andhra Pradesh,Warangal,Sugarcane,Kharif,7.32,177.8,34.0,46.8,7.2,7.01,47.2,142.2,40.6,121.3,Flood,274.8,6.89,0.93,1.57,11.49,71516,81171,821719,740548,870.9,13.193,46.9
SF00045,Maharashtra,Warangal,Maize,Zaid,7.54,393.9,34.2,72.2,4.4,5.83,58.4,142.6,75.1,23.8,Flood,221.2,6.37,0.61,1.47,11.08,66566,133911,737551,603640,2328.2,4.759,57.2
SF00046,Maharashtra,Ludhiana,Rice,Kharif,2.33,362.8,20.7,85.0,4.0,7.58,17.2,23.8,26.3,36.2,Drip,109.0,4.22,0.92,0.83,1.93,44896,55971,86649,30678,4183.1,0.461,45.3
SF00047,Andhra Pradesh,Indore,Sugarcane,Rabi,0.62,510.6,20.0,65.2,10.6,5.13,49.2,130.7,49.3,78.7,Drip,93.4,5.31,0.76,1.41,0.87,34614,240704,30114,-210590,2725.2,0.319,51.2
SF00048,Maharashtra,Rajkot,Pulses,Rabi,4.18,599.5,28.5,75.6,6.7,6.79,24.7,78.3,41.6,129.0,Drip,267.6,6.86,0.91,4.12,17.22,27632,62357,475823,413466,1746.1,9.862,53.3
SF00049,Karnataka,Indore,Chilli,Zaid,2.11,176.1,25.7,73.3,6.6,5.46,56.1,14.7,75.7,24.0,Drip,243.8,4.35,0.65,2.2,4.64,47949,236957,222483,-14474,1826.9,2.54,13.6
SF00050,Karnataka,Rajkot,Cotton,Zaid,7.67,350.0,19.9,65.4,5.1,6.45,52.4,55.8,52.3,27.2,Rainfed,206.3,8.26,0.94,2.66,20.4,34021,235382,694028,458646,1897.3,10.752,68.5
SF00051,Telangana,Rajkot,Pulses,Rabi,6.64,662.2,23.6,57.0,4.0,7.61,38.3,63.1,17.1,105.0,Drip,100.2,5.77,0.75,2.88,19.12,21441,339288,409952,70664,4659.6,4.103,37.2
SF00052,Andhra Pradesh,Nalgonda,Pulses,Zaid,1.68,139.8,19.5,62.2,7.0,6.82,30.7,36.3,48.5,61.8,Drip,142.3,7.11,0.79,1.61,2.7,60517,317582,163396,-154186,3061.9,0.882,50.0
SF00053,Maharashtra,Nalgonda,Cotton,Rabi,0.84,362.5,18.1,77.4,5.2,6.14,45.2,77.5,75.8,130.9,Drip,167.4,7.68,0.77,1.96,1.65,25180,24030,41547,17517,1181.2,1.397,37.6
SF00054,Karnataka,Warangal,Maize,Rabi,1.08,116.7,23.8,80.1,8.3,7.5,56.0,17.8,76.8,46.5,Sprinkler,195.3,4.56,0.72,1.61,1.74,74267,320626,129225,-191401,2141.2,0.813,30.4
